Unnamed: 0,year,pay,department,gender
0,1970,23.72,Support,M
1,1970,21.76,Support,M
2,1970,20.97,Support,F
3,1970,23.43,Support,F
4,1970,22.68,Support,F
5,1970,21.68,Support,F
6,1970,26.02,Support,F
7,1970,23.07,Support,M
8,1970,25.36,Support,F
9,1970,24.16,Support,F
10,1970,24.17,Support,F
11,1970,24.02,Support,F
12,1970,24.36,Support,F
13,1970,24.31,Support,F
14,1970,23.34,Support,F
15,1970,24.42,Support,F
16,1970,19.34,Support,M
17,1970,23.44,Support,F
18,1970,19.66,Support,F
19,1970,21.98,Support,F
20,1970,22.15,Support,F
21,1970,24.11,Support,F
22,1970,20.02,Support,M
23,1970,23.87,Support,F
24,1970,22.64,Support,F
25,1970,26.55,Support,F
26,1970,20.87,Support,M
27,1970,18.67,Support,M
28,1970,25.13,Support,F
29,1970,23.36,Support,F
30,1970,24.66,Support,F
31,1970,26.02,Support,F
32,1970,22.38,Support,F
33,1970,24.82,Support,F
34,1970,24.06,Support,F
35,1970,15.85,Support,M
36,1970,25.89,Support,F
37,1970,18.64,Support,M
38,1970,22.35,Support,F
39,1970,22.16,Support,F
40,1970,20.82,Support,M
41,1970,19.68,Support,M
42,1970,21.24,Support,F
43,1970,20.14,Support,M
44,1970,22.84,Support,F
45,1970,26.02,Support,F
46,1970,23.11,Support,F
47,1970,21.42,Support,F
48,1970,22.58,Support,F
49,1970,23.77,Support,F
50,1970,21.23,Support,F
51,1970,23.22,Support,F
52,1970,21.31,Support,M
53,1970,20.92,Support,M
54,1970,23.26,Support,F
55,1970,22.85,Support,F
56,1970,26.47,Support,F
57,1970,22.71,Support,M
58,1970,21.33,Support,M
59,1970,23.82,Support,F
60,1970,24.05,Support,F
61,1970,22.91,Support,M
62,1970,20.09,Support,F
63,1970,19.8,Support,F
64,1970,20.25,Support,F
65,1970,22.45,Support,M
66,1970,23.54,Support,F
67,1970,22.2,Support,F
68,1970,25.87,Support,F
69,1970,21.12,Support,F
70,1970,19.64,Support,M
71,1970,24.09,Support,M
72,1970,21.23,Support,F
73,1970,20.27,Support,F
74,1970,24.3,Support,F
75,1970,21.38,Support,M
76,1970,23.13,Support,F
77,1970,20.73,Support,F
78,1970,22.21,Support,M
79,1970,25.18,Support,M
80,1970,23.58,Support,F
81,1970,22.88,Support,F
82,1970,24.97,Support,F
83,1970,26.86,Support,F
84,1970,23.68,Support,F
85,1970,21.65,Support,M
86,1970,24.13,Support,F
87,1970,19.48,Support,M
88,1970,25.56,Support,F
89,1970,20.54,Support,M
90,1970,21.21,Support,F
91,1970,20.56,Support,M
92,1970,23.07,Support,F
93,1970,26.11,Support,M
94,1970,20.91,Support,F
95,1970,21.14,Support,M
96,1970,20.48,Support,M
97,1970,21.58,Support,F
98,1970,20.93,Support,F
99,1970,24.41,Support,F
100,1970,20.72,Support,F
101,1970,21.02,Support,M
102,1970,20.75,Support,F
103,1970,23.22,Support,F
104,1970,23.59,Support,F
105,1970,22.36,Support,M
106,1970,20.01,Support,F
107,1970,22.63,Support,F
108,1970,28.03,Support,F
109,1970,23.21,Support,F
110,1970,25.92,Support,F
111,1970,26.76,Support,F
112,1970,26.28,Support,F
113,1970,24.99,Support,F
114,1970,26.55,Support,F
115,1970,20.78,Support,M
116,1970,22.96,Support,F
117,1970,26.12,Support,F
118,1970,28.1,Support,F
119,1970,21.07,Support,M
120,1970,24.6,Support,F
121,1970,18.69,Support,M
122,1970,19.98,Support,M
123,1970,24.27,Support,F
124,1970,19.2,Support,F
125,1970,24.21,Support,F
126,1970,21.18,Support,M
127,1970,23.87,Support,F
128,1970,23.05,Support,F
129,1970,23.56,Support,F
130,1970,25.19,Support,F
131,1970,24.04,Support,F
132,1970,20.08,Support,M
133,1970,23.6,Support,F
134,1970,24.77,Support,F
135,1970,24.68,Support,M
136,1970,24.93,Support,F
137,1970,21.37,Support,F
138,1970,19.2,Support,M
139,1970,25.08,Support,F
140,1970,24.29,Support,F
141,1970,23.63,Support,M
142,1970,25.35,Support,F
143,1970,22.96,Support,F
144,1970,25.1,Support,F
145,1970,22.01,Support,F
146,1970,22.86,Support,F
147,1970,25.79,Support,F
148,1970,23.2,Support,F
149,1970,21.41,Support,F
150,1970,22.9,Support,F
151,1970,22.8,Support,F
152,1970,21.78,Support,F
153,1970,19.6,Support,F
154,1970,24.16,Support,M
155,1970,23.21,Support,F
156,1970,22.27,Support,F
