pay,year,department,gender
22.63,0.0,Support,F
24.74,0.0,Support,F
21.16,0.0,Support,M
21.11,0.0,Support,M
19.39,0.0,Support,M
21.07,0.0,Support,M
23.14,0.0,Support,F
23.14,0.0,Support,F
24.06,0.0,Support,F
22.87,0.0,Support,F
19.83,0.0,Support,M
19.36,0.0,Support,M
22.53,0.0,Support,F
22.79,0.0,Support,F
24.17,0.0,Support,F
21.15,0.0,Support,F
21.29,0.0,Support,M
23.98,0.0,Support,F
23.74,0.0,Support,F
23.88,0.0,Support,F
23.99,0.0,Support,F
22.6,0.0,Support,F
23.02,0.0,Support,F
21.11,0.0,Support,M
22.55,0.0,Support,F
22.11,0.0,Support,F
20.87,0.0,Support,M
21.94,0.0,Support,F
23.09,0.0,Support,F
21.5,0.0,Support,M
22.61,0.0,Support,F
21.09,0.0,Support,M
20.34,0.0,Support,M
20.9,0.0,Support,M
23.25,0.0,Support,F
23.7,0.0,Support,F
22.08,0.0,Support,F
21.62,0.0,Support,M
23.18,0.0,Support,F
23.35,0.0,Support,F
23.31,0.0,Support,F
24.14,0.0,Support,F
22.15,0.0,Support,F
22.71,0.0,Support,F
23.83,0.0,Support,F
24.38,0.0,Support,F
23.75,0.0,Support,F
22.96,0.0,Support,F
23.79,0.0,Support,F
23.45,0.0,Support,F
23.0,0.0,Support,F
23.84,0.0,Support,F
24.7,0.0,Support,F
22.32,0.0,Support,F
21.2,0.0,Support,M
21.69,0.0,Support,F
21.01,0.0,Support,F
20.37,0.0,Support,M
23.14,0.0,Support,F
22.35,0.0,Support,F
21.67,0.0,Support,M
23.07,0.0,Support,F
22.68,0.0,Support,F
23.71,0.0,Support,F
21.95,0.0,Support,F
23.2,0.0,Support,F
22.4,0.0,Support,F
23.26,0.0,Support,F
23.24,0.0,Support,F
22.35,0.0,Support,M
21.63,0.0,Support,M
23.29,0.0,Support,F
19.77,0.0,Support,M
19.78,0.0,Support,M
21.31,0.0,Support,M
23.3,0.0,Support,F
20.22,0.0,Support,M
21.92,0.0,Support,M
23.0,0.0,Support,F
22.48,0.0,Support,F
23.79,0.0,Support,F
23.6,0.0,Support,F
22.91,0.0,Support,F
23.0,0.0,Support,F
22.85,0.0,Support,F
20.78,0.0,Support,M
23.46,0.0,Support,F
22.87,0.0,Support,F
21.24,0.0,Support,M
23.66,0.0,Support,F
20.37,0.0,Support,M
21.75,0.0,Support,F
23.31,0.0,Support,F
23.01,0.0,Support,F
21.69,0.0,Support,F
21.24,0.0,Support,F
23.17,0.0,Support,F
22.32,0.0,Support,F
23.32,0.0,Support,F
22.13,0.0,Support,M
23.11,0.0,Support,F
23.42,0.0,Support,F
22.56,0.0,Support,F
21.28,0.0,Support,M
23.23,0.0,Support,F
22.74,0.0,Support,F
23.39,0.0,Support,F
20.78,0.0,Support,M
23.36,0.0,Support,F
21.77,0.0,Support,M
21.38,0.0,Support,M
22.01,0.0,Support,F
23.84,0.0,Support,F
21.59,0.0,Support,M
23.03,0.0,Support,F
20.41,0.0,Support,M
21.08,0.0,Support,M
23.57,0.0,Support,F
19.68,0.0,Support,M
22.47,0.0,Support,F
23.05,0.0,Support,F
23.3,0.0,Support,F
22.92,0.0,Support,F
23.08,0.0,Support,F
23.24,0.0,Support,F
20.8,0.0,Support,M
21.35,0.0,Support,F
20.58,0.0,Support,M
21.71,0.0,Support,F
22.03,0.0,Support,M
22.2,0.0,Support,F
22.17,0.0,Support,F
23.14,0.0,Support,F
21.47,0.0,Support,F
24.03,0.0,Support,F
22.93,0.0,Support,F
23.68,0.0,Support,F
24.01,0.0,Support,F
21.01,0.0,Support,M
23.27,0.0,Support,F
22.06,0.0,Support,F
21.73,0.0,Support,F
23.42,0.0,Support,F
24.32,0.0,Support,F
23.55,0.0,Support,F
23.04,0.0,Support,F
23.33,0.0,Support,F
22.84,0.0,Support,F
22.9,0.0,Support,F
22.53,0.0,Support,F
22.88,0.0,Support,F
21.16,0.0,Support,M
20.56,0.0,Support,M
22.5,0.0,Support,F
23.77,0.0,Support,F
22.3,0.0,Support,F
21.51,0.0,Support,M
22.48,0.0,Support,F
23.17,0.0,Support,F
21.16,0.0,Support,M
22.05,0.0,Support,F
23.87,0.0,Support,F
22.52,0.0,Support,F
21.23,0.0,Support,M
21.27,0.0,Support,M
22.04,0.0,Support,M
21.7,0.0,Support,F
20.01,0.0,Support,M
21.99,0.0,Support,F
22.72,0.0,Support,F
23.79,0.0,Support,F
23.95,0.0,Support,F
23.74,0.0,Support,F
22.64,0.0,Support,F
21.91,0.0,Support,F
21.95,0.0,Support,M
20.32,0.0,Support,M
23.0,0.0,Support,F
20.84,0.0,Support,M
24.05,0.0,Support,F
23.18,0.0,Support,F
21.43,0.0,Support,M
23.12,0.0,Support,F
22.64,0.0,Support,F
24.22,0.0,Support,F
21.8,0.0,Support,M
23.77,0.0,Support,F
23.37,0.0,Support,F
20.72,0.0,Support,M
22.96,0.0,Support,F
21.97,0.0,Support,M
23.08,0.0,Support,F
21.93,0.0,Support,M
22.72,0.0,Support,F
23.59,0.0,Support,F
20.68,0.0,Support,M
24.71,0.0,Support,F
23.57,0.0,Support,F
22.66,0.0,Support,F
24.05,0.0,Support,F
20.69,0.0,Support,M
21.3,0.0,Support,F
23.11,0.0,Support,F
20.62,0.0,Support,M
20.24,0.0,Support,M
22.41,0.0,Support,F
23.65,0.0,Support,F
24.51,0.0,Support,F
22.88,0.0,Support,F
22.65,0.0,Support,F
23.38,0.0,Support,F
22.93,0.0,Support,F
23.84,0.0,Support,F
23.68,0.0,Support,F
22.82,0.0,Support,F
24.36,0.0,Support,F
20.87,0.0,Support,M
22.56,0.0,Support,F
20.72,0.0,Support,M
21.17,0.0,Support,M
20.42,0.0,Support,M
23.57,0.0,Support,F
